epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6404,3.95553,18.6548,2.57895,0.00019,0.05,0.00013,7e-05,3.88937,8.31538,2.76676,5.001e-05,5.001e-05,5.001e-05
2,18.5562,3.85185,16.4699,2.89812,0.52009,0.25,0.02266,0.00671,2.87182,9.10435,2.52069,0.000115535,0.000115535,0.000115535
3,28.1319,2.85557,12.4009,2.20365,0.00017,0.05,0.00034,7e-05,3.02588,8.22253,2.17084,0.000179739,0.000179739,0.000179739
4,37.5346,2.24588,7.15844,1.7765,0.32295,0.45556,0.06823,0.03337,2.19935,43.01,1.85455,0.000242624,0.000242624,0.000242624
5,47.0962,1.81645,5.22627,1.47843,0.05452,0.25,0.12848,0.02418,2.36046,22.2728,3.06825,0.000304187,0.000304187,0.000304187
6,56.3804,1.80813,4.63478,1.47443,0.00421,0.36111,0.00345,0.00148,2.18314,156.42,2.10032,0.000364431,0.000364431,0.000364431
7,64.7517,1.6657,4.30864,1.3919,0.00624,0.45556,0.00532,0.00176,2.21785,inf,2.00678,0.000423355,0.000423355,0.000423355
8,73.94,1.85878,3.91915,1.52939,0.41644,0.40556,0.07205,0.01706,2.34681,182.269,2.83621,0.000480958,0.000480958,0.000480958
9,82.8558,1.60854,3.99474,1.45957,0.08863,0.32222,0.08568,0.0719,2.18748,18.0247,2.87044,0.000537241,0.000537241,0.000537241
10,90.9239,1.71645,3.91237,1.49838,0.5975,0.15,0.15725,0.0936,2.09103,11.7047,2.91283,0.000592203,0.000592203,0.000592203
11,99.0138,1.82108,3.15128,1.62023,0.55086,0.15,0.05463,0.01995,2.43787,14.0524,3.24988,0.000645846,0.000645846,0.000645846
12,108.461,1.92754,3.55876,1.64302,0.00642,0.16111,0.00297,0.00111,2.47263,35.3571,4.2447,0.000698168,0.000698168,0.000698168
13,116.812,1.86524,4.07125,1.54014,0.00164,0.1,0.00061,0.00011,2.97574,47.6987,7.81716,0.00074917,0.00074917,0.00074917
14,125.178,1.71587,3.80784,1.54119,0.00916,0.25556,0.00736,0.00268,2.58121,41.0595,3.36851,0.000798851,0.000798851,0.000798851
15,133.85,1.98798,3.04964,1.61484,0.6,0.05,0.06932,0.02161,2.04722,63.8695,2.13938,0.000847213,0.000847213,0.000847213
16,141.27,1.53132,5.69296,1.46571,0.6,0.05,0.06932,0.02161,2.04722,63.8695,2.13938,0.000894254,0.000894254,0.000894254
17,148.921,1.66756,6.15034,1.4916,0.66667,0.05,0.16321,0.04776,1.93154,41.2839,1.80789,0.000939975,0.000939975,0.000939975
18,155.833,1.71626,4.71277,1.4642,0.02749,0.36667,0.01895,0.00504,2.20533,35.5854,2.05195,0.000984375,0.000984375,0.000984375
19,164.031,1.96615,3.71893,1.71353,0.02749,0.36667,0.01895,0.00504,2.20533,35.5854,2.05195,0.00102746,0.00102746,0.00102746
20,172.042,1.88367,3.07997,1.54148,0.05913,0.2,0.05316,0.02002,2.27907,18.5998,1.95603,0.00106922,0.00106922,0.00106922
21,179.861,1.83328,2.93074,1.60528,0.08678,0.15556,0.09181,0.04254,2.70411,20.3435,2.70378,0.00110966,0.00110966,0.00110966
22,187.84,1.76573,3.09295,1.56424,0.08678,0.15556,0.09181,0.04254,2.70411,20.3435,2.70378,0.00114877,0.00114877,0.00114877
23,195.923,1.77253,3.11335,1.49828,0.04066,0.21111,0.01772,0.00782,3.12658,19.645,2.90924,0.00118657,0.00118657,0.00118657
24,203.972,2.12495,3.48907,1.65345,0.04066,0.21111,0.01772,0.00782,3.12658,19.645,2.90924,0.00122305,0.00122305,0.00122305
25,212.35,2.13896,3.2892,1.7118,0.01847,0.15,0.08677,0.01451,2.46031,47.5559,3.1697,0.00125821,0.00125821,0.00125821
26,220.921,1.93259,3.07984,1.73447,0.01847,0.15,0.08677,0.01451,2.46031,47.5559,3.1697,0.00125442,0.00125442,0.00125442
27,229.588,1.8208,2.95279,1.70946,0.03917,0.51667,0.1012,0.02981,2.6042,158.091,4.48453,0.00123791,0.00123791,0.00123791
28,238.47,2.10994,2.85509,1.91461,0.03917,0.51667,0.1012,0.02981,2.6042,158.091,4.48453,0.00122141,0.00122141,0.00122141
29,247.65,1.89474,2.71245,1.73187,0.57143,0.1,0.09383,0.04384,2.52006,35.8497,3.40271,0.00120491,0.00120491,0.00120491
30,256.787,1.60246,2.58399,1.53277,0.57143,0.1,0.09383,0.04384,2.52006,35.8497,3.40271,0.0011884,0.0011884,0.0011884
31,264.404,1.71221,2.70218,1.59759,0.11765,0.1,0.09656,0.05146,2.76422,10.1487,3.64403,0.0011719,0.0011719,0.0011719
32,272.188,1.43332,2.77577,1.58943,0.11765,0.1,0.09656,0.05146,2.76422,10.1487,3.64403,0.0011554,0.0011554,0.0011554
33,279.39,1.55887,2.63923,1.59927,0.4063,0.05,0.04844,0.02509,4.04971,55.7458,6.04221,0.00113889,0.00113889,0.00113889
34,286.865,1.59498,2.34819,1.49764,0.4063,0.05,0.04844,0.02509,4.04971,55.7458,6.04221,0.00112239,0.00112239,0.00112239
35,294.053,1.66952,2.36474,1.59599,0.63788,0.15,0.12751,0.07073,2.63866,10.2136,2.32943,0.00110589,0.00110589,0.00110589
36,301.629,1.58554,2.28822,1.49537,0.63788,0.15,0.12751,0.07073,2.63866,10.2136,2.32943,0.00108938,0.00108938,0.00108938
37,308.466,1.64657,2.00951,1.47461,0.15142,0.50556,0.14632,0.07579,1.96717,25.6584,2.11814,0.00107288,0.00107288,0.00107288
38,315.684,1.66675,1.97103,1.50882,0.15142,0.50556,0.14632,0.07579,1.96717,25.6584,2.11814,0.00105638,0.00105638,0.00105638
39,322.477,1.52716,2.09332,1.48254,0.2886,0.30556,0.15041,0.06204,2.35209,10.8022,2.17495,0.00103987,0.00103987,0.00103987
40,329.577,1.57167,2.10836,1.42459,0.2886,0.30556,0.15041,0.06204,2.35209,10.8022,2.17495,0.00102337,0.00102337,0.00102337
41,336.265,1.63941,1.97955,1.56311,0.17739,0.35556,0.22415,0.09236,1.97365,16.0864,2.15738,0.00100687,0.00100687,0.00100687
42,343.169,1.55978,1.84925,1.46614,0.17739,0.35556,0.22415,0.09236,1.97365,16.0864,2.15738,0.000990365,0.000990365,0.000990365
43,349.582,1.56896,1.82433,1.41934,0.32694,0.41667,0.37829,0.1773,1.89248,9.72885,1.91717,0.000973861,0.000973861,0.000973861
44,356.511,1.71447,1.99448,1.44359,0.32694,0.41667,0.37829,0.1773,1.89248,9.72885,1.91717,0.000957358,0.000957358,0.000957358
45,363.053,1.48458,1.92545,1.47396,0.58073,0.25556,0.35647,0.15433,1.88821,4.66727,1.85131,0.000940855,0.000940855,0.000940855
46,370.121,1.53604,1.79743,1.49498,0.58073,0.25556,0.35647,0.15433,1.88821,4.66727,1.85131,0.000924352,0.000924352,0.000924352
47,377.673,1.4874,1.73928,1.41975,0.39143,0.62222,0.43274,0.16485,1.96081,3.19944,1.75994,0.000907848,0.000907848,0.000907848
48,385.087,1.5367,1.63926,1.44671,0.39143,0.62222,0.43274,0.16485,1.96081,3.19944,1.75994,0.000891345,0.000891345,0.000891345
49,392.583,1.62374,1.64748,1.41074,0.55716,0.52222,0.53347,0.22547,1.87126,2.75803,1.65569,0.000874842,0.000874842,0.000874842
50,399.911,1.44052,1.5269,1.34489,0.55716,0.52222,0.53347,0.22547,1.87126,2.75803,1.65569,0.000858338,0.000858338,0.000858338
51,407.045,1.54731,1.66107,1.32627,0.39505,0.67778,0.54168,0.27899,1.75072,1.96771,1.5737,0.000841835,0.000841835,0.000841835
52,414.791,1.40741,1.47044,1.41535,0.39505,0.67778,0.54168,0.27899,1.75072,1.96771,1.5737,0.000825332,0.000825332,0.000825332
53,422.265,1.36505,1.57215,1.333,0.54189,0.44441,0.52385,0.30284,1.66627,2.16201,1.52675,0.000808828,0.000808828,0.000808828
54,429.826,1.33918,1.42352,1.27448,0.54189,0.44441,0.52385,0.30284,1.66627,2.16201,1.52675,0.000792325,0.000792325,0.000792325
55,437.564,1.2817,1.37123,1.27326,0.47861,0.47222,0.48281,0.28235,1.60603,2.47142,1.52092,0.000775822,0.000775822,0.000775822
56,444.916,1.21693,1.36389,1.31111,0.47861,0.47222,0.48281,0.28235,1.60603,2.47142,1.52092,0.000759318,0.000759318,0.000759318
57,451.634,1.28802,1.36556,1.30458,0.45068,0.42222,0.46403,0.23248,1.80977,2.26096,1.63962,0.000742815,0.000742815,0.000742815
58,458.557,1.36009,1.29536,1.29353,0.45068,0.42222,0.46403,0.23248,1.80977,2.26096,1.63962,0.000726312,0.000726312,0.000726312
59,465.072,1.36352,1.31969,1.31214,0.38079,0.57029,0.43252,0.18409,1.7455,2.46196,1.5906,0.000709809,0.000709809,0.000709809
60,472.283,1.27055,1.2645,1.24303,0.38079,0.57029,0.43252,0.18409,1.7455,2.46196,1.5906,0.000693305,0.000693305,0.000693305
61,479.121,1.25073,1.25635,1.27198,0.61191,0.52222,0.48271,0.249,1.53552,2.94518,1.43104,0.000676802,0.000676802,0.000676802
62,486.093,1.25716,1.27038,1.32417,0.61191,0.52222,0.48271,0.249,1.53552,2.94518,1.43104,0.000660299,0.000660299,0.000660299
63,492.847,1.27071,1.25044,1.2773,0.37299,0.62189,0.45864,0.25157,1.52477,2.67757,1.41722,0.000643795,0.000643795,0.000643795
64,499.818,1.1477,1.18957,1.19676,0.37299,0.62189,0.45864,0.25157,1.52477,2.67757,1.41722,0.000627292,0.000627292,0.000627292
65,506.13,1.27566,1.12556,1.26147,0.67116,0.44282,0.57831,0.34086,1.52148,2.38464,1.43106,0.000610789,0.000610789,0.000610789
66,513.415,1.20332,1.14515,1.2722,0.67116,0.44282,0.57831,0.34086,1.52148,2.38464,1.43106,0.000594286,0.000594286,0.000594286
67,521.619,1.1637,1.14707,1.25318,0.61723,0.52778,0.55019,0.26622,1.61941,2.37172,1.61071,0.000577782,0.000577782,0.000577782
68,530.114,1.27817,1.19199,1.268,0.61723,0.52778,0.55019,0.26622,1.61941,2.37172,1.61071,0.000561279,0.000561279,0.000561279
69,537.565,1.18192,1.15804,1.22438,0.62318,0.50205,0.50951,0.27959,1.85515,2.1803,1.56358,0.000544776,0.000544776,0.000544776
70,544.938,1.21176,1.08989,1.17964,0.62318,0.50205,0.50951,0.27959,1.85515,2.1803,1.56358,0.000528272,0.000528272,0.000528272
71,551.809,1.34999,1.10747,1.20828,0.69905,0.47036,0.57995,0.27153,1.85981,1.92659,1.56954,0.000511769,0.000511769,0.000511769
72,559.103,1.19124,1.21461,1.1543,0.69905,0.47036,0.57995,0.27153,1.85981,1.92659,1.56954,0.000495266,0.000495266,0.000495266
73,566.312,1.25319,1.06275,1.18668,0.7701,0.57778,0.67266,0.31225,1.6848,1.7825,1.62979,0.000478762,0.000478762,0.000478762
74,573.27,1.07617,0.96114,1.167,0.7701,0.57778,0.67266,0.31225,1.6848,1.7825,1.62979,0.000462259,0.000462259,0.000462259
75,580.131,1.1582,1.12309,1.20758,0.75766,0.65985,0.73704,0.36631,1.58454,1.62859,1.6071,0.000445756,0.000445756,0.000445756
76,587.212,1.08388,0.98293,1.17323,0.75766,0.65985,0.73704,0.36631,1.58454,1.62859,1.6071,0.000429253,0.000429253,0.000429253
77,594.864,1.04085,0.92016,1.13556,0.89608,0.56475,0.6757,0.37091,1.5678,1.49587,1.63351,0.000412749,0.000412749,0.000412749
78,602.736,1.14491,1.03728,1.15871,0.89608,0.56475,0.6757,0.37091,1.5678,1.49587,1.63351,0.000396246,0.000396246,0.000396246
79,611.777,1.19492,0.94196,1.13031,0.71941,0.60975,0.63816,0.36943,1.60611,1.4162,1.58733,0.000379743,0.000379743,0.000379743
80,620.246,1.21447,1.02505,1.20449,0.71941,0.60975,0.63816,0.36943,1.60611,1.4162,1.58733,0.000363239,0.000363239,0.000363239
81,627.526,1.10299,0.97032,1.16483,0.68626,0.636,0.64838,0.38866,1.56208,1.33691,1.51776,0.000346736,0.000346736,0.000346736
82,634.913,1.06565,0.94241,1.15394,0.68626,0.636,0.64838,0.38866,1.56208,1.33691,1.51776,0.000330233,0.000330233,0.000330233
83,641.66,1.14976,0.95384,1.19705,0.78214,0.67778,0.71755,0.41833,1.56838,1.25192,1.50345,0.000313729,0.000313729,0.000313729
84,648.459,1.227,0.89274,1.11151,0.78214,0.67778,0.71755,0.41833,1.56838,1.25192,1.50345,0.000297226,0.000297226,0.000297226
85,656.732,1.03227,0.89294,1.12593,0.82904,0.67778,0.72625,0.41333,1.60667,1.25745,1.5179,0.000280723,0.000280723,0.000280723
86,664.512,1.02346,0.86392,1.17877,0.82904,0.67778,0.72625,0.41333,1.60667,1.25745,1.5179,0.00026422,0.00026422,0.00026422
87,671.687,0.99714,0.88623,1.10343,0.84388,0.66481,0.72916,0.40199,1.69608,1.32768,1.62791,0.000247716,0.000247716,0.000247716
88,679.41,0.85072,0.75308,1.12544,0.84388,0.66481,0.72916,0.40199,1.69608,1.32768,1.62791,0.000231213,0.000231213,0.000231213
89,686.538,1.06472,0.91027,1.12838,0.74636,0.70392,0.70539,0.3942,1.74812,1.38935,1.68568,0.00021471,0.00021471,0.00021471
90,694.231,0.99874,0.87253,1.14341,0.74636,0.70392,0.70539,0.3942,1.74812,1.38935,1.68568,0.000198206,0.000198206,0.000198206
91,718.181,1.03847,1.04367,1.11496,0.8118,0.60142,0.70518,0.37967,1.80487,1.44205,1.78256,0.000181703,0.000181703,0.000181703
92,725.763,1.06287,0.9663,1.18091,0.8118,0.60142,0.70518,0.37967,1.80487,1.44205,1.78256,0.0001652,0.0001652,0.0001652
93,732.811,1.02535,1.08098,1.09798,0.94262,0.59746,0.70692,0.3863,1.79198,1.55543,1.7608,0.000148696,0.000148696,0.000148696
94,740.157,1.01438,0.99467,1.1022,0.94262,0.59746,0.70692,0.3863,1.79198,1.55543,1.7608,0.000132193,0.000132193,0.000132193
95,747.105,1.00921,0.95461,1.13204,0.95232,0.59738,0.7078,0.37161,1.75521,1.71843,1.7547,0.00011569,0.00011569,0.00011569
96,754.357,0.88435,0.88198,1.11657,0.95232,0.59738,0.7078,0.37161,1.75521,1.71843,1.7547,9.91865e-05,9.91865e-05,9.91865e-05
97,761.339,0.9505,0.90046,1.10698,0.96005,0.58691,0.70955,0.37668,1.72386,1.72798,1.76381,8.26832e-05,8.26832e-05,8.26832e-05
98,769.004,1.01496,1.12525,1.06714,0.96005,0.58691,0.70955,0.37668,1.72386,1.72798,1.76381,6.61799e-05,6.61799e-05,6.61799e-05
99,775.892,0.87385,0.96627,1.10711,0.95692,0.56115,0.70382,0.37318,1.71575,1.66165,1.79341,4.96766e-05,4.96766e-05,4.96766e-05
100,783.225,0.82584,0.85075,1.17288,0.95692,0.56115,0.70382,0.37318,1.71575,1.66165,1.79341,3.31733e-05,3.31733e-05,3.31733e-05
